cod_mun;UF;Município;pop2019;pib2017milreais;export_fob_2019;import_fob_2019;pip_per_capita17;hierarquia_urbana07;hierarquia;voos_dom;voos_int;indice_proximidade;indice_intermediacao
4319703;RS;São Valentim ;3299;87735;0;0;2450;Centro de Zona B;2;0;0;0,30452860;0,00000186
4319711;RS;São Valentim do Sul ;2242;54724;1469972;0;2416;Centro Local;1;0;0;0,30523174;0,00000084
4319737;RS;São Valério do Sul ;2727;54232;0;0;1965;Centro Local;1;0;0;0,00000000;0,00000000
4319752;RS;São Vendelino ;2243;64028;380381;0;2973;Centro Local;1;0;0;0,30543815;0,00000021
4319802;RS;São Vicente do Sul ;8721;226617;0;0;2570;Centro Local;1;0;0;0,31524458;0,00004742
4319901;RS;Sapiranga ;81734;3286119;138657184;46674249;4092;sem classificação;0;0;0;0,33032667;0,00011561
4320008;RS;Sapucaia do Sul ;141075;3135020;35545423;26205226;2248;sem classificação;0;0;0;0,30559314;0,00002148
4320107;RS;Sarandi ;24489;842809;278861;258525;3602;Centro de Zona A;3;0;0;0,41001589;0,00315291
4320206;RS;Seberi ;10750;316080;26927335;21791;2836;Centro Local;1;0;0;0,36928528;0,00076732
4320230;RS;Sede Nova ;2907;87939;0;0;2883;Centro Local;1;0;0;0,00000000;0,00000000
4320263;RS;Segredo ;7421;131398;0;0;1769;Centro Local;1;0;0;0,29511053;0,00000673
4320305;RS;Selbach ;5100;211070;0;0;4097;Centro Local;1;0;0;0,31010413;0,00000740
4320321;RS;Senador Salgado Filho ;2779;80721;0;0;2803;Centro Local;1;0;0;0,23638187;0,00000000
4320354;RS;Sentinela do Sul ;5581;84589;0;0;1530;Centro Local;1;0;0;0,30178174;0,00000043
4320404;RS;Serafina Corrêa ;17502;618494;1192515;3037481;3822;Centro de Zona B;2;0;0;0,30619739;0,00037131
4320453;RS;Sério ;1962;41915;0;0;1907;Centro Local;1;0;0;0,28342833;0,00000000
4320503;RS;Sertão ;5415;276634;198816;172250;4561;Centro Local;1;0;0;0,31176301;0,00001003
4320552;RS;Sertão Santana ;6486;170216;365479;0;2695;Centro Local;1;0;0;0,30176494;0,00000043
4320578;RS;Sete de Setembro ;1970;62921;0;0;2976;Centro Local;1;0;0;0,28979308;0,00000000
4320602;RS;Severiano de Almeida ;3657;97652;0;0;2525;Centro Local;1;0;0;0,00000000;0,00000000
4320651;RS;Silveira Martins ;2384;48652;171176;47566;1961;Centro Local;1;0;0;0,28874327;0,00000000
4320677;RS;Sinimbu ;10172;201151;185422;349136;1933;Centro de Zona B;2;0;0;0,27698283;0,00000010
4320701;RS;Sobradinho ;14967;370494;3070069;19879;2467;Centro de Zona B;2;0;0;0,30791956;0,00010629
4320800;RS;Soledade ;31002;868945;60215178;4852572;2771;Centro de Zona A;3;0;0;0,34542094;0,00257826
4320859;RS;Tabaí ;4719;68608;0;0;1516;Centro Local;1;0;0;0,30663046;0,00001938
4320909;RS;Tapejara ;24111;875684;29497520;56838213;3966;Centro de Zona B;2;0;0;0,31458587;0,00029388
4321006;RS;Tapera ;10584;406431;521593;0;3758;Centro Local;1;0;0;0,31054833;0,00014163
4321105;RS;Tapes ;17300;370131;12204;0;2124;Centro de Zona B;2;0;0;0,30245536;0,00000258
4321204;RS;Taquara ;57466;1256709;2254181;2184477;2184;Centro de Zona A;3;0;0;0,33070962;0,00018317
4321303;RS;Taquari ;26862;679787;31473954;43680354;2499;Centro Local;1;0;0;0,30348844;0,00000174
4321329;RS;Taquaruçu do Sul ;3072;98779;0;0;3185;Centro Local;1;0;0;0,30430633;0,00000255
4321352;RS;Tavares ;5481;84534;7912;0;1518;Centro Local;1;0;0;0,30189940;0,00000214
4321402;RS;Tenente Portela ;13485;394671;0;0;2817;Centro de Zona B;2;0;0;0,33392890;0,00039905
4321436;RS;Terra de Areia ;11204;218481;1155;0;2026;Centro Local;1;0;0;0,30932542;0,00002296
4321451;RS;Teutônia ;33232;1289617;1492676;29109209;4181;Centro de Zona B;2;0;0;0,31588763;0,00010722
4321469;RS;Tio Hugo ;3030;109328;0;0;3711;Centro Local;1;0;0;0,30370952;0,00000885
4321477;RS;Tiradentes do Sul ;5704;123463;0;0;1962;Centro Local;1;0;0;0,28414155;0,00000000
4321493;RS;Toropi ;2806;64258;0;0;2164;Centro Local;1;0;0;0,23786536;0,00000000
4321501;RS;Torres ;38732;1162766;0;235175;3095;Centro de Zona A;3;0;0;0,32880369;0,00007429
4321600;RS;Tramandaí ;51715;1011455;1324205;7578;2128;Centro de Zona B;2;0;0;0,31349413;0,00003397
4321626;RS;Travesseiro ;2336;61639;0;0;2578;Centro Local;1;0;0;0,23632004;0,00000000
4321634;RS;Três Arroios ;2668;74197;0;7614;2602;Centro Local;1;0;0;0,00000000;0,00000000
4321667;RS;Três Cachoeiras ;11053;241520;44683;143268;2215;Centro Local;1;0;0;0,30876154;0,00000627
4321709;RS;Três Coroas ;28220;911456;15896721;18432839;3428;Centro Local;1;0;0;0,30311504;0,00000027
4321808;RS;Três de Maio ;23906;946236;13789;3966647;3863;Centro de Zona A;3;0;0;0,38733653;0,00028279
4321832;RS;Três Forquilhas ;2697;51729;0;0;1785;Centro Local;1;0;0;0,30191622;0,00000007
4321857;RS;Três Palmeiras ;4271;114407;0;61769;2567;Centro Local;1;0;0;0,32753203;0,00130735
4321907;RS;Três Passos ;23906;779906;0;3479961;3166;Centro de Zona A;3;0;0;0,33440276;0,00048134
4321956;RS;Trindade do Sul ;5802;161103;802884;0;2703;Centro Local;1;0;0;0,31436692;0,00005023
4322004;RS;Triunfo ;29538;8803874;1304553550;1902056917;31121;Centro Local;1;0;0;0,30554146;0,00000064
4322103;RS;Tucunduva ;5678;196721;1756;0;3298;Centro de Zona B;2;0;0;0,33147820;0,00037795
4322152;RS;Tunas ;4569;81328;0;0;1766;Centro Local;1;0;0;0,25735992;0,00000031
4322186;RS;Tupanci do Sul ;1472;42919;0;0;2728;Centro Local;1;0;0;0,24145766;0,00000002
4322202;RS;Tupanciretã ;23948;1073417;2518980;0;4528;Centro Local;1;0;0;0,30519737;0,00009707
4322251;RS;Tupandi ;4855;415872;12201966;1640418;9299;Centro Local;1;0;0;0,30678666;0,00000023
4322301;RS;Tuparendi ;7893;264509;10530593;10569;3114;Centro Local;1;0;0;0,32812689;0,00000858
4322327;RS;Turuçu ;3438;99674;7543;0;2780;Centro Local;1;0;0;0,30281021;0,00000000
4322343;RS;Ubiretama ;2015;57827;0;0;2591;Centro Local;1;0;0;0,00000000;0,00000000
4322350;RS;União da Serra ;1154;50882;0;0;3703;Centro Local;1;0;0;0,23471332;0,00000000
4322376;RS;Unistalda ;2338;59453;0;0;2410;Centro Local;1;0;0;0,30492264;0,00007838
4322400;RS;Uruguaiana ;126970;2807639;13136098;7030908;2163;Centro Subregional A;5;16;0;0,38330976;0,00086850
4322509;RS;Vacaria ;66218;2131390;36660060;30114846;3259;Centro de Zona A;3;0;0;0,38385269;0,00191204
4322525;RS;Vale Verde ;3497;76100;0;0;2199;Centro Local;1;0;0;0,30216870;0,00000008
4322533;RS;Vale do Sol ;11781;231582;0;0;1975;Centro Local;1;0;0;0,27701114;0,00000000
4322541;RS;Vale Real ;5913;130699;4050;128037;2318;Centro Local;1;0;0;0,30289483;0,00000010
4322558;RS;Vanini ;2113;57348;0;0;2730;Centro Local;1;0;0;0,30552424;0,00004087
4322608;RS;Venâncio Aires ;71554;2696507;692961778;14262364;3826;Centro de Zona A;3;0;0;0,33048781;0,00065167
4322707;RS;Vera Cruz ;26863;597025;6199448;8150548;2294;Centro Local;1;0;0;0,30802455;0,00007617
4322806;RS;Veranópolis ;26241;1405090;49931993;22189672;5604;Centro de Zona B;2;0;0;0,31402086;0,00017866
4322855;RS;Vespasiano Corrêa ;1815;61704;0;0;3155;Centro Local;1;0;0;0,30319982;0,00000060
4322905;RS;Viadutos ;4756;123181;0;0;2367;Centro Local;1;0;0;0,28883560;0,00000006
4323002;RS;Viamão ;255224;3564507;34551534;6860622;1405;sem classificação;0;0;0;0,28779270;0,00000109
4323101;RS;Vicente Dutra ;4670;91674;2474;0;1779;Centro Local;1;0;0;0,29954681;0,00000011
4323200;RS;Victor Graeff ;2882;135289;0;0;4434;Centro Local;1;0;0;0,30178174;0,00000263
4323309;RS;Vila Flores ;3385;156583;16454471;8078398;4630;Centro Local;1;0;0;0,31060172;0,00002846
4323358;RS;Vila Lângaro ;2091;91236;0;0;4176;Centro Local;1;0;0;0,28926723;0,00000000
4323408;RS;Vila Maria ;4358;202792;557900;2310823;4602;Centro Local;1;0;0;0,31178095;0,00026643
4323457;RS;Vila Nova do Sul ;4280;116881;0;0;2675;Centro Local;1;0;0;0,30673458;0,00000616
4323507;RS;Vista Alegre ;2752;73816;0;0;2566;Centro Local;1;0;0;0,30471693;0,00000398
4323606;RS;Vista Alegre do Prata ;1561;51938;0;0;3224;Centro Local;1;0;0;0,24733047;0,00000000
4323705;RS;Vista Gaúcha ;2851;66678;0;0;2314;Centro Local;1;0;0;0,30966120;0,00000014
4323754;RS;Vitória das Missões ;3133;82326;0;0;2406;Centro Local;1;0;0;0,28973112;0,00000000
4323770;RS;Westfália ;3014;142459;13945971;53570;4785;Centro Local;1;0;0;0,30311504;0,00000192
4323804;RS;Xangri-lá ;16408;523240;0;24394;3572;Centro Local;1;0;0;0,30758754;0,00000410
5000203;MS;Água Clara ;15522;1488315;0;567265;9927;Centro Local;1;0;0;0,35151437;0,00003061
5000252;MS;Alcinópolis ;5343;164077;0;0;3163;Centro Local;1;0;0;0,30668251;0,00000011
5000609;MS;Amambai ;39396;902427;7319947;469791;2346;Centro de Zona B;2;0;0;0,31546476;0,00000838
5000708;MS;Anastácio ;25135;420517;49884917;165054;1685;Centro Local;1;0;0;0,36557399;0,00012330
5000807;MS;Anaurilândia ;9035;204685;0;0;2293;Centro Local;1;0;0;0,31307763;0,00000071
5000856;MS;Angélica ;10780;721575;0;4176043;6900;Centro Local;1;0;0;0,28577454;0,00000000
5000906;MS;Antônio João ;8956;231080;19225146;0;2624;Centro Local;1;0;0;0,29164873;0,00000019
5001003;MS;Aparecida do Taboado ;25745;1036097;49449444;19719395;4132;Centro Local;1;0;0;0,38344535;0,00015714
5001102;MS;Aquidauana ;47871;917889;0;0;1933;Centro de Zona A;3;0;0;0,30643976;0,00000059
5001243;MS;Aral Moreira ;12149;477772;0;0;4059;Centro Local;1;0;0;0,27658706;0,00000000
5001508;MS;Bandeirantes ;6788;327117;284278;0;4814;Centro Local;1;0;0;0,34850823;0,00009640
5001904;MS;Bataguassu ;23024;791859;121765514;14091807;3537;Centro de Zona B;2;0;0;0,39318099;0,00063571
5002001;MS;Batayporã ;11329;339128;0;0;3015;Centro Local;1;0;0;0,31742313;0,00000927
5002100;MS;Bela Vista ;24629;515638;280494;10600;2119;Centro de Zona B;2;0;0;0,36594423;0,00018350
5002159;MS;Bodoquena ;7875;209347;513412;360402;2677;Centro Local;1;0;0;0,30643976;0,00000122
5002209;MS;Bonito ;21976;681801;0;38778;3174;Centro Local;1;20;0;0,30744796;0,00000200
5002308;MS;Brasilândia ;11872;519048;0;0;4375;Centro Local;1;0;0;0,30602451;0,00000001
5002407;MS;Caarapó ;30174;1183428;11203993;277662;4040;Centro Local;1;0;0;0,33046765;0,00005385
5002605;MS;Camapuã ;13711;408775;3524248;0;2985;Centro de Zona B;2;0;0;0,33765263;0,00003714
5002704;MS;Campo Grande ;895982;27034851;391224816;367627059;3092;Capital Regional A;8;465;0;0,44100895;0,01119391
5002803;MS;Caracol ;6116;117224;0;0;1963;Centro Local;1;0;0;0,30611092;0,00000000
5002902;MS;Cassilândia ;21939;553216;52123753;0;2544;Centro de Zona B;2;0;0;0,34886715;0,00004165
5002951;MS;Chapadão do Sul ;25218;1486307;169909638;3557659;6208;Centro de Zona B;2;0;0;0,34859789;0,00006199
5003108;MS;Corguinho ;5947;107546;0;0;1877;Centro Local;1;0;0;0,30609364;0,00000000
5003157;MS;Coronel Sapucaia ;15253;192816;0;0;1284;Centro Local;1;0;0;0,30729108;0,00000000
5003207;MS;Corumbá ;111435;2869213;229550473;1269126217;2611;Centro de Zona A;3;20;0;0,36825656;0,00014004
5003256;MS;Costa Rica ;20823;1481953;25232536;0;7351;Centro Local;1;0;0;0,32585823;0,00002459
5003306;MS;Coxim ;33543;839889;518383;901738;2520;Centro de Zona B;2;0;0;0,39619883;0,00069864
5003454;MS;Deodápolis ;12924;264071;0;0;2067;Centro Local;1;0;0;0,36604309;0,00004277
