UF;DESTINO;TIPO;Índice Geral;Infraestrutura;Acesso;Serviço e Equipamento;Atrativos;Marketing;Políticas Públicas;Cooperação Regional;Monitoramento;Economia Local;Capacidade Empresarial;Aspectos Sociais;Aspectos Ambientais
PI;Parnaíba;Não capital;45,2;58,3;55,5;42,4;50,2;19,1;43,5;44,7;0;46,7;46,8;43,4;60,3
RJ;Petrópolis;Não capital;70,5;70,4;75,8;62,4;74,9;59,2;68,1;58,4;58,4;78,9;66,8;81,1;82,6
GO;Pirenópolis;Não capital;53,6;58,2;48,2;54,3;62,1;41,3;60,2;51,4;41;50,5;31,8;60,3;54,8
RS;Porto Alegre;Capital;81;83,5;91,6;83,4;66,5;90,1;78,4;40,2;66,1;92,5;94,7;78,3;82,5
BA;Porto Seguro;Não capital;58,9;58,4;66,8;65,9;58;52,9;64,8;62,1;23,8;50,9;68;55,9;67,3
RO;Porto Velho;Capital;52;61,5;60,9;46,9;46,5;24;55,2;14,2;37,6;59,2;76;53,7;56,1
PE;Recife;Capital;77,2;79,5;83,4;83,2;79,1;70,6;70,6;49,1;61,6;81,8;93,2;67,2;75,6
AC;Rio Branco;Capital;56,4;65,1;66,9;62,4;56,4;28,3;46,3;49,4;3,7;68,1;71,3;55,6;72,1
RJ;Rio de Janeiro;Capital;81,1;84;92,1;89,9;85;58,7;67,6;55,2;62,2;95,2;96;69,9;84,6
BA;Salvador;Capital;77;81,3;87,7;81,5;79;52,3;67,7;59,4;63,4;80,7;89,2;70,7;78,2
PA;Santarém;Não capital;57,5;52,2;65,5;48,5;57,9;52,2;65,8;53,1;78;50,4;68,3;53,4;42,9
SC;São Joaquim;Não capital;48,4;69,8;60,8;31,6;58,6;40,5;50,7;46,9;11,3;61,4;34,1;50,1;41,1
MA;São Luís;Capital;68,6;82,8;65,2;67,2;53,9;70,7;57,7;41;50,4;77,5;91,3;68;72,5
SP;São Paulo;Capital;83,2;84,1;94;92,5;86;86,5;80,1;32,7;86,1;95,3;94,9;71,5;77,6
PI;São Raimundo Nonato;Não capital;40,6;58,4;33,7;40,2;76,8;21,6;9,7;17,6;9,4;40,1;35,9;47;58,2
PI;Teresina;Capital;59,9;63,1;67;59,8;63,5;45,2;61,4;30,4;26,9;72,7;80,2;56,1;67,4
RN;Tibau do Sul;Não capital;43,1;49,2;50;41,7;51,2;28,5;43,4;45,5;15,7;45,7;14,9;50,3;66,5
MG;Tiradentes;Não capital;52,8;64,2;59;40,1;62,8;32,3;36,7;82,7;22,3;54,4;27,6;60,3;69,7
ES;Vitória;Capital;75,2;85;71,3;69,2;61,9;60,6;66,6;71,1;73,7;89,1;93,1;72,8;80,4
