"";"Município";"dom";"int";"cod_mun"
"1783";"ferros";0;0;"3125903"
"1784";"fervedouro";0;0;"3125952"
"1785";"figueira";0;0;"4107751"
"1786";"figueirão";0;0;"5003900"
"1787";"figueirópolis";0;0;"1707652"
"1788";"figueirópolis d'oeste";0;0;"5103809"
"1789";"filadélfia";0;0;"1707702"
"1790";"filadélfia";0;0;"2910859"
"1791";"firmino alves";0;0;"2910909"
"1792";"firminópolis";0;0;"5207808"
"1793";"flexeiras";0;0;"2702801"
"1794";"flor da serra do sul";0;0;"4107850"
"1795";"flor do sertão";0;0;"4205357"
"1796";"flora rica";0;0;"3515806"
"1797";"floraí";0;0;"4107801"
"1798";"florânia";0;0;"2403806"
"1799";"floreal";0;0;"3515905"
"1800";"flores";0;0;"2605608"
"1801";"flores da cunha";0;0;"4308201"
"1802";"flores de goiás";0;0;"5207907"
"1803";"flores do piauí";0;0;"2203800"
"1804";"floresta";0;0;"2605707"
"1805";"floresta";0;0;"4107900"
"1806";"floresta azul";0;0;"2911006"
"1807";"floresta do araguaia";0;0;"1503044"
"1808";"floresta do piauí";0;0;"2203859"
"1809";"florestal";0;0;"3126000"
"1810";"florestópolis";0;0;"4108007"
"1811";"floriano";0;0;"2203909"
"1812";"floriano peixoto";0;0;"4308250"
"1813";"florianópolis";1078;237;"4205407"
"1814";"flórida";0;0;"4108106"
"1815";"flórida paulista";0;0;"3516002"
"1816";"florínea";0;0;"3516101"
"1817";"fonte boa";0;0;"1301605"
"1818";"fontoura xavier";0;0;"4308300"
"1819";"formiga";0;0;"3126109"
"1820";"formigueiro";0;0;"4308409"
"1821";"formosa";0;0;"5208004"
"1822";"formosa da serra negra";0;0;"2104099"
"1823";"formosa do oeste";0;0;"4108205"
"1824";"formosa do rio preto";0;0;"2911105"
"1825";"formosa do sul";0;0;"4205431"
"1826";"formoso";0;0;"3126208"
"1827";"formoso";0;0;"5208103"
"1828";"formoso do araguaia";0;0;"1708205"
"1829";"forquetinha";0;0;"4308433"
"1830";"forquilha";0;0;"2304350"
"1831";"forquilhinha";0;0;"4205456"
"1832";"fortaleza";1752;116;"2304400"
"1833";"fortaleza de minas";0;0;"3126307"
"1834";"fortaleza do tabocão";0;0;"1708254"
"1835";"fortaleza dos nogueiras";0;0;"2104107"
"1836";"fortaleza dos valos";0;0;"4308458"
"1837";"fortim";0;0;"2304459"
"1838";"fortuna";0;0;"2104206"
"1839";"fortuna de minas";0;0;"3126406"
"1840";"foz do iguaçu";671;48;"4108304"
"1841";"foz do jordão";0;0;"4108452"
"1842";"fraiburgo";0;0;"4205506"
"1843";"franca";35;0;"3516200"
"1844";"francinópolis";0;0;"2204006"
"1845";"francisco alves";0;0;"4108320"
"1846";"francisco ayres";0;0;"2204105"
