Município;pass_int
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;462
CAMPINAS;9292
CAMPINAS;7823
CAMPINAS;0
CAMPINAS;8283
CAMPINAS;6525
CAMPINAS;340
CAMPINAS;10826
CAMPINAS;246
CAMPINAS;2549
CAMPINAS;13409
CAMPINAS;3003
CAMPINAS;15933
CAMPINAS;3050
CAMPINAS;240
CAMPINAS;14641
CAMPINAS;2717
CAMPINAS;13625
CAMPINAS;3281
CAMPINAS;10571
CAMPINAS;3062
CAMPINAS;173
CAMPINAS;10813
CAMPINAS;220
CAMPINAS;2797
CAMPINAS;12886
CAMPINAS;223
CAMPINAS;253
CAMPINAS;103
CAMPINAS;288
CAMPINAS;476
CAMPINAS;266
CAMPINAS;192
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;974
CAMPINAS;82
CAMPINAS;149
CAMPINAS;158
CAMPINAS;274
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAMPINAS;0
CAROLINA;207
CAROLINA;275
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;0
CURITIBA;2144
CURITIBA;352
CURITIBA;1491
CURITIBA;238
CURITIBA;2353
CURITIBA;2959
CURITIBA;2888
CURITIBA;3397
