cod_mun;Município;dom;int;classes_voos_dom_2019;classes_voos_int_2019
1303536;presidente figueiredo;0;0;1 - sem passageiros;1 - sem passageiros
1303569;rio preto da eva;0;0;1 - sem passageiros;1 - sem passageiros
1303601;santa isabel do rio negro;0;0;1 - sem passageiros;1 - sem passageiros
1303700;santo antônio do içá;0;0;1 - sem passageiros;1 - sem passageiros
1303809;são gabriel da cachoeira;5520;0;3 - de 1.001 até 10.000;1 - sem passageiros
1303908;são paulo de olivença;0;0;1 - sem passageiros;1 - sem passageiros
1303957;são sebastião do uatumã;0;0;1 - sem passageiros;1 - sem passageiros
1304005;silves;0;0;1 - sem passageiros;1 - sem passageiros
1304062;tabatinga;33821;0;4 - de 10.001 até 100.000;1 - sem passageiros
1304104;tapauá;0;0;1 - sem passageiros;1 - sem passageiros
1304203;tefé;16609;0;4 - de 10.001 até 100.000;1 - sem passageiros
1304237;tonantins;0;0;1 - sem passageiros;1 - sem passageiros
1304260;uarini;0;0;1 - sem passageiros;1 - sem passageiros
1304302;urucará;0;0;1 - sem passageiros;1 - sem passageiros
1304401;urucurituba;0;0;1 - sem passageiros;1 - sem passageiros
1400027;amajari;0;0;1 - sem passageiros;1 - sem passageiros
1400050;alto alegre;0;0;1 - sem passageiros;1 - sem passageiros
1400100;boa vista;154166;0;5 - de 100.001 até 1.000.000;1 - sem passageiros
1400159;bonfim;0;0;1 - sem passageiros;1 - sem passageiros
1400175;cantá;0;0;1 - sem passageiros;1 - sem passageiros
1400209;caracaraí;0;0;1 - sem passageiros;1 - sem passageiros
1400233;caroebe;0;0;1 - sem passageiros;1 - sem passageiros
1400282;iracema;0;0;1 - sem passageiros;1 - sem passageiros
1400308;mucajaí;0;0;1 - sem passageiros;1 - sem passageiros
1400407;normandia;0;0;1 - sem passageiros;1 - sem passageiros
1400456;pacaraima;0;0;1 - sem passageiros;1 - sem passageiros
1400472;rorainópolis;0;0;1 - sem passageiros;1 - sem passageiros
1400506;são joão da baliza;0;0;1 - sem passageiros;1 - sem passageiros
1400605;são luiz;0;0;1 - sem passageiros;1 - sem passageiros
1400704;uiramutã;0;0;1 - sem passageiros;1 - sem passageiros
1500107;abaetetuba;0;0;1 - sem passageiros;1 - sem passageiros
1500131;abel figueiredo;0;0;1 - sem passageiros;1 - sem passageiros
1500206;acará;0;0;1 - sem passageiros;1 - sem passageiros
1500305;afuá;0;0;1 - sem passageiros;1 - sem passageiros
1500347;água azul do norte;0;0;1 - sem passageiros;1 - sem passageiros
1500404;alenquer;0;0;1 - sem passageiros;1 - sem passageiros
1500503;almeirim;337;0;2 - até 1.000;1 - sem passageiros
1500602;altamira;47559;0;4 - de 10.001 até 100.000;1 - sem passageiros
1500701;anajás;0;0;1 - sem passageiros;1 - sem passageiros
1500800;ananindeua;0;0;1 - sem passageiros;1 - sem passageiros
1500859;anapu;0;0;1 - sem passageiros;1 - sem passageiros
1500909;augusto corrêa;0;0;1 - sem passageiros;1 - sem passageiros
1500958;aurora do pará;0;0;1 - sem passageiros;1 - sem passageiros
1501006;aveiro;0;0;1 - sem passageiros;1 - sem passageiros
1501105;bagre;0;0;1 - sem passageiros;1 - sem passageiros
1501204;baião;0;0;1 - sem passageiros;1 - sem passageiros
1501253;bannach;0;0;1 - sem passageiros;1 - sem passageiros
1501303;barcarena;0;0;1 - sem passageiros;1 - sem passageiros
1501402;belém;1705388;81602;6 - a partir de 1.000.001;4 - de 20.001 até 100.000
1501451;belterra;0;0;1 - sem passageiros;1 - sem passageiros
1501501;benevides;0;0;1 - sem passageiros;1 - sem passageiros
1501576;bom jesus do tocantins;0;0;1 - sem passageiros;1 - sem passageiros
1501600;bonito;7992;0;3 - de 1.001 até 10.000;1 - sem passageiros
1501709;bragança;0;0;1 - sem passageiros;1 - sem passageiros
1501725;brasil novo;0;0;1 - sem passageiros;1 - sem passageiros
1501758;brejo grande do araguaia;0;0;1 - sem passageiros;1 - sem passageiros
1501782;breu branco;0;0;1 - sem passageiros;1 - sem passageiros
1501808;breves;511;0;2 - até 1.000;1 - sem passageiros
1501907;bujaru;0;0;1 - sem passageiros;1 - sem passageiros
1501956;cachoeira do piriá;0;0;1 - sem passageiros;1 - sem passageiros
1502004;cachoeira do arari;0;0;1 - sem passageiros;1 - sem passageiros
1502103;cametá;0;0;1 - sem passageiros;1 - sem passageiros
1502152;canaã dos carajás;0;0;1 - sem passageiros;1 - sem passageiros
1502202;capanema;0;0;1 - sem passageiros;1 - sem passageiros
1502301;capitão poço;0;0;1 - sem passageiros;1 - sem passageiros
1502400;castanhal;0;0;1 - sem passageiros;1 - sem passageiros
1502509;chaves;0;0;1 - sem passageiros;1 - sem passageiros
1502608;colares;0;0;1 - sem passageiros;1 - sem passageiros
1502707;conceição do araguaia;0;0;1 - sem passageiros;1 - sem passageiros
1502756;concórdia do pará;0;0;1 - sem passageiros;1 - sem passageiros
1502764;cumaru do norte;0;0;1 - sem passageiros;1 - sem passageiros
1502772;curionópolis;0;0;1 - sem passageiros;1 - sem passageiros
1502806;curralinho;0;0;1 - sem passageiros;1 - sem passageiros
1502855;curuá;0;0;1 - sem passageiros;1 - sem passageiros
1502905;curuçá;0;0;1 - sem passageiros;1 - sem passageiros
1502939;dom eliseu;0;0;1 - sem passageiros;1 - sem passageiros
1502954;eldorado do carajás;0;0;1 - sem passageiros;1 - sem passageiros
1503002;faro;0;0;1 - sem passageiros;1 - sem passageiros
1503044;floresta do araguaia;0;0;1 - sem passageiros;1 - sem passageiros
1503077;garrafão do norte;0;0;1 - sem passageiros;1 - sem passageiros
1503093;goianésia do pará;0;0;1 - sem passageiros;1 - sem passageiros
1503101;gurupá;0;0;1 - sem passageiros;1 - sem passageiros
1503200;igarapé-açu;0;0;1 - sem passageiros;1 - sem passageiros
1503309;igarapé-miri;0;0;1 - sem passageiros;1 - sem passageiros
1503408;inhangapi;0;0;1 - sem passageiros;1 - sem passageiros
1503457;ipixuna do pará;0;0;1 - sem passageiros;1 - sem passageiros
1503507;irituia;0;0;1 - sem passageiros;1 - sem passageiros
1503606;itaituba;8904;0;3 - de 1.001 até 10.000;1 - sem passageiros
1503705;itupiranga;0;0;1 - sem passageiros;1 - sem passageiros
1503754;jacareacanga;0;0;1 - sem passageiros;1 - sem passageiros
1503804;jacundá;0;0;1 - sem passageiros;1 - sem passageiros
1503903;juruti;0;0;1 - sem passageiros;1 - sem passageiros
1504000;limoeiro do ajuru;0;0;1 - sem passageiros;1 - sem passageiros
1504059;mãe do rio;0;0;1 - sem passageiros;1 - sem passageiros
1504109;magalhães barata;0;0;1 - sem passageiros;1 - sem passageiros
1504208;marabá;135714;0;5 - de 100.001 até 1.000.000;1 - sem passageiros
1504307;maracanã;0;0;1 - sem passageiros;1 - sem passageiros
1504406;marapanim;0;0;1 - sem passageiros;1 - sem passageiros
1504422;marituba;0;0;1 - sem passageiros;1 - sem passageiros
1504455;medicilândia;0;0;1 - sem passageiros;1 - sem passageiros
1504505;melgaço;0;0;1 - sem passageiros;1 - sem passageiros
1504604;mocajuba;0;0;1 - sem passageiros;1 - sem passageiros
1504703;moju;0;0;1 - sem passageiros;1 - sem passageiros
1504752;mojuí dos campos;0;0;1 - sem passageiros;1 - sem passageiros
1504802;monte alegre;0;0;1 - sem passageiros;1 - sem passageiros
1504901;muaná;0;0;1 - sem passageiros;1 - sem passageiros
1504950;nova esperança do piriá;0;0;1 - sem passageiros;1 - sem passageiros
1504976;nova ipixuna;0;0;1 - sem passageiros;1 - sem passageiros
1505007;nova timboteua;0;0;1 - sem passageiros;1 - sem passageiros
1505031;novo progresso;0;0;1 - sem passageiros;1 - sem passageiros
1505064;novo repartimento;0;0;1 - sem passageiros;1 - sem passageiros
1505106;óbidos;0;0;1 - sem passageiros;1 - sem passageiros
1505205;oeiras do pará;0;0;1 - sem passageiros;1 - sem passageiros
1505304;oriximiná;5645;0;3 - de 1.001 até 10.000;1 - sem passageiros
1505403;ourém;0;0;1 - sem passageiros;1 - sem passageiros
1505437;ourilândia do norte;0;0;1 - sem passageiros;1 - sem passageiros
1505486;pacajá;0;0;1 - sem passageiros;1 - sem passageiros
1505494;palestina do pará;0;0;1 - sem passageiros;1 - sem passageiros
1505502;paragominas;0;0;1 - sem passageiros;1 - sem passageiros
1505536;parauapebas;69767;0;4 - de 10.001 até 100.000;1 - sem passageiros
1505551;pau d'arco;0;0;1 - sem passageiros;1 - sem passageiros
1505601;peixe-boi;0;0;1 - sem passageiros;1 - sem passageiros
1505635;piçarra;0;0;1 - sem passageiros;1 - sem passageiros
1505650;placas;0;0;1 - sem passageiros;1 - sem passageiros
1505700;ponta de pedras;0;0;1 - sem passageiros;1 - sem passageiros
1505809;portel;0;0;1 - sem passageiros;1 - sem passageiros
1505908;porto de moz;214;0;2 - até 1.000;1 - sem passageiros
1506005;prainha;0;0;1 - sem passageiros;1 - sem passageiros
1506104;primavera;0;0;1 - sem passageiros;1 - sem passageiros
1506112;quatipuru;0;0;1 - sem passageiros;1 - sem passageiros
1506138;redenção;0;0;1 - sem passageiros;1 - sem passageiros
1506161;rio maria;0;0;1 - sem passageiros;1 - sem passageiros
1506187;rondon do pará;0;0;1 - sem passageiros;1 - sem passageiros
1506195;rurópolis;0;0;1 - sem passageiros;1 - sem passageiros
1506203;salinópolis;0;0;1 - sem passageiros;1 - sem passageiros
1506302;salvaterra;0;0;1 - sem passageiros;1 - sem passageiros
1506351;santa bárbara do pará;0;0;1 - sem passageiros;1 - sem passageiros
1506401;santa cruz do arari;0;0;1 - sem passageiros;1 - sem passageiros
1506500;santa izabel do pará;0;0;1 - sem passageiros;1 - sem passageiros
1506559;santa luzia do pará;0;0;1 - sem passageiros;1 - sem passageiros
1506583;santa maria das barreiras;0;0;1 - sem passageiros;1 - sem passageiros
1506609;santa maria do pará;0;0;1 - sem passageiros;1 - sem passageiros
1506708;santana do araguaia;0;0;1 - sem passageiros;1 - sem passageiros
1506807;santarém;239137;0;5 - de 100.001 até 1.000.000;1 - sem passageiros
1506906;santarém novo;0;0;1 - sem passageiros;1 - sem passageiros
1507003;santo antônio do tauá;0;0;1 - sem passageiros;1 - sem passageiros
1507102;são caetano de odivelas;0;0;1 - sem passageiros;1 - sem passageiros
1507151;são domingos do araguaia;0;0;1 - sem passageiros;1 - sem passageiros
1507201;são domingos do capim;0;0;1 - sem passageiros;1 - sem passageiros
1507300;são félix do xingu;0;0;1 - sem passageiros;1 - sem passageiros
1507409;são francisco do pará;0;0;1 - sem passageiros;1 - sem passageiros
1507458;são geraldo do araguaia;0;0;1 - sem passageiros;1 - sem passageiros
1507466;são joão da ponta;0;0;1 - sem passageiros;1 - sem passageiros
1507474;são joão de pirabas;0;0;1 - sem passageiros;1 - sem passageiros
1507508;são joão do araguaia;0;0;1 - sem passageiros;1 - sem passageiros
1507607;são miguel do guamá;0;0;1 - sem passageiros;1 - sem passageiros
1507706;são sebastião da boa vista;0;0;1 - sem passageiros;1 - sem passageiros
1507755;sapucaia;0;0;1 - sem passageiros;1 - sem passageiros
1507805;senador josé porfírio;0;0;1 - sem passageiros;1 - sem passageiros
1507904;soure;0;0;1 - sem passageiros;1 - sem passageiros
1507953;tailândia;0;0;1 - sem passageiros;1 - sem passageiros
1507961;terra alta;0;0;1 - sem passageiros;1 - sem passageiros
1507979;terra santa;0;0;1 - sem passageiros;1 - sem passageiros
1508001;tomé-açu;0;0;1 - sem passageiros;1 - sem passageiros
1508035;tracuateua;0;0;1 - sem passageiros;1 - sem passageiros
1508050;trairão;0;0;1 - sem passageiros;1 - sem passageiros
1508084;tucumã;0;0;1 - sem passageiros;1 - sem passageiros
1508100;tucuruí;0;0;1 - sem passageiros;1 - sem passageiros
1508126;ulianópolis;0;0;1 - sem passageiros;1 - sem passageiros
1508159;uruará;0;0;1 - sem passageiros;1 - sem passageiros
1508209;vigia;0;0;1 - sem passageiros;1 - sem passageiros
1508308;viseu;0;0;1 - sem passageiros;1 - sem passageiros
1508357;vitória do xingu;0;0;1 - sem passageiros;1 - sem passageiros
1508407;xinguara;0;0;1 - sem passageiros;1 - sem passageiros
1600055;serra do navio;0;0;1 - sem passageiros;1 - sem passageiros
1600105;amapá;0;0;1 - sem passageiros;1 - sem passageiros
1600154;pedra branca do amapari;0;0;1 - sem passageiros;1 - sem passageiros
1600204;calçoene;0;0;1 - sem passageiros;1 - sem passageiros
1600212;cutias;0;0;1 - sem passageiros;1 - sem passageiros
1600238;ferreira gomes;0;0;1 - sem passageiros;1 - sem passageiros
1600253;itaubal;0;0;1 - sem passageiros;1 - sem passageiros
1600279;laranjal do jari;0;0;1 - sem passageiros;1 - sem passageiros
1600303;macapá;301227;0;5 - de 100.001 até 1.000.000;1 - sem passageiros
1600402;mazagão;0;0;1 - sem passageiros;1 - sem passageiros
1600501;oiapoque;0;0;1 - sem passageiros;1 - sem passageiros
1600535;porto grande;0;0;1 - sem passageiros;1 - sem passageiros
1600550;pracuúba;0;0;1 - sem passageiros;1 - sem passageiros
1600600;santana;0;0;1 - sem passageiros;1 - sem passageiros
1600709;tartarugalzinho;0;0;1 - sem passageiros;1 - sem passageiros
1600808;vitória do jari;0;0;1 - sem passageiros;1 - sem passageiros
1700251;abreulândia;0;0;1 - sem passageiros;1 - sem passageiros
1700301;aguiarnópolis;0;0;1 - sem passageiros;1 - sem passageiros
1700350;aliança do tocantins;0;0;1 - sem passageiros;1 - sem passageiros
1700400;almas;0;0;1 - sem passageiros;1 - sem passageiros
1700707;alvorada;0;0;1 - sem passageiros;1 - sem passageiros
1701002;ananás;0;0;1 - sem passageiros;1 - sem passageiros
1701051;angico;0;0;1 - sem passageiros;1 - sem passageiros
1701101;aparecida do rio negro;0;0;1 - sem passageiros;1 - sem passageiros
1701309;aragominas;0;0;1 - sem passageiros;1 - sem passageiros
1701903;araguacema;0;0;1 - sem passageiros;1 - sem passageiros
1702000;araguaçu;0;0;1 - sem passageiros;1 - sem passageiros
1702109;araguaína;17776;0;4 - de 10.001 até 100.000;1 - sem passageiros
1702158;araguanã;0;0;1 - sem passageiros;1 - sem passageiros
1702208;araguatins;0;0;1 - sem passageiros;1 - sem passageiros
1702307;arapoema;0;0;1 - sem passageiros;1 - sem passageiros
1702406;arraias;0;0;1 - sem passageiros;1 - sem passageiros
1702554;augustinópolis;0;0;1 - sem passageiros;1 - sem passageiros
1702703;aurora do tocantins;0;0;1 - sem passageiros;1 - sem passageiros
1702901;axixá do tocantins;0;0;1 - sem passageiros;1 - sem passageiros
1703008;babaçulândia;0;0;1 - sem passageiros;1 - sem passageiros
1703057;bandeirantes do tocantins;0;0;1 - sem passageiros;1 - sem passageiros
1703073;barra do ouro;0;0;1 - sem passageiros;1 - sem passageiros
1703107;barrolândia;0;0;1 - sem passageiros;1 - sem passageiros
1703206;bernardo sayão;0;0;1 - sem passageiros;1 - sem passageiros
1703305;bom jesus do tocantins;0;0;1 - sem passageiros;1 - sem passageiros
1703602;brasilândia do tocantins;0;0;1 - sem passageiros;1 - sem passageiros
1703701;brejinho de nazaré;0;0;1 - sem passageiros;1 - sem passageiros
1703800;buriti do tocantins;0;0;1 - sem passageiros;1 - sem passageiros
1703826;cachoeirinha;0;0;1 - sem passageiros;1 - sem passageiros
1703842;campos lindos;0;0;1 - sem passageiros;1 - sem passageiros
1703867;cariri do tocantins;0;0;1 - sem passageiros;1 - sem passageiros
1703883;carmolândia;0;0;1 - sem passageiros;1 - sem passageiros
1703891;carrasco bonito;0;0;1 - sem passageiros;1 - sem passageiros
1703909;caseara;0;0;1 - sem passageiros;1 - sem passageiros
1704105;centenário;0;0;1 - sem passageiros;1 - sem passageiros
1704600;chapada de areia;0;0;1 - sem passageiros;1 - sem passageiros
1705102;chapada da natividade;0;0;1 - sem passageiros;1 - sem passageiros
1705508;colinas do tocantins;0;0;1 - sem passageiros;1 - sem passageiros
1705557;combinado;0;0;1 - sem passageiros;1 - sem passageiros
1705607;conceição do tocantins;0;0;1 - sem passageiros;1 - sem passageiros
1706001;couto magalhães;0;0;1 - sem passageiros;1 - sem passageiros
1706100;cristalândia;0;0;1 - sem passageiros;1 - sem passageiros
1706258;crixás do tocantins;0;0;1 - sem passageiros;1 - sem passageiros
1706506;darcinópolis;0;0;1 - sem passageiros;1 - sem passageiros
1707009;dianópolis;0;0;1 - sem passageiros;1 - sem passageiros
1707108;divinópolis do tocantins;0;0;1 - sem passageiros;1 - sem passageiros
1707207;dois irmãos do tocantins;0;0;1 - sem passageiros;1 - sem passageiros
1707306;dueré;0;0;1 - sem passageiros;1 - sem passageiros
1707405;esperantina;0;0;1 - sem passageiros;1 - sem passageiros
1707553;fátima;0;0;1 - sem passageiros;1 - sem passageiros
1707652;figueirópolis;0;0;1 - sem passageiros;1 - sem passageiros
1707702;filadélfia;0;0;1 - sem passageiros;1 - sem passageiros
1708205;formoso do araguaia;0;0;1 - sem passageiros;1 - sem passageiros
1708254;fortaleza do tabocão;0;0;1 - sem passageiros;1 - sem passageiros
1708304;goianorte;0;0;1 - sem passageiros;1 - sem passageiros
1709005;goiatins;0;0;1 - sem passageiros;1 - sem passageiros
1709302;guaraí;0;0;1 - sem passageiros;1 - sem passageiros
1709500;gurupi;0;0;1 - sem passageiros;1 - sem passageiros
1709807;ipueiras;0;0;1 - sem passageiros;1 - sem passageiros
1710508;itacajá;0;0;1 - sem passageiros;1 - sem passageiros
1710706;itaguatins;0;0;1 - sem passageiros;1 - sem passageiros
1710904;itapiratins;0;0;1 - sem passageiros;1 - sem passageiros
1711100;itaporã do tocantins;0;0;1 - sem passageiros;1 - sem passageiros
1711506;jaú do tocantins;0;0;1 - sem passageiros;1 - sem passageiros
1711803;juarina;0;0;1 - sem passageiros;1 - sem passageiros
1711902;lagoa da confusão;0;0;1 - sem passageiros;1 - sem passageiros
1711951;lagoa do tocantins;0;0;1 - sem passageiros;1 - sem passageiros
1712009;lajeado;0;0;1 - sem passageiros;1 - sem passageiros
1712157;lavandeira;0;0;1 - sem passageiros;1 - sem passageiros
1712405;lizarda;0;0;1 - sem passageiros;1 - sem passageiros
1712454;luzinópolis;0;0;1 - sem passageiros;1 - sem passageiros
1712504;marianópolis do tocantins;0;0;1 - sem passageiros;1 - sem passageiros
1712702;mateiros;0;0;1 - sem passageiros;1 - sem passageiros
1712801;maurilândia do tocantins;0;0;1 - sem passageiros;1 - sem passageiros
1713205;miracema do tocantins;0;0;1 - sem passageiros;1 - sem passageiros
1713304;miranorte;0;0;1 - sem passageiros;1 - sem passageiros
1713601;monte do carmo;0;0;1 - sem passageiros;1 - sem passageiros
1713700;monte santo do tocantins;0;0;1 - sem passageiros;1 - sem passageiros
1713809;palmeiras do tocantins;0;0;1 - sem passageiros;1 - sem passageiros
1713957;muricilândia;0;0;1 - sem passageiros;1 - sem passageiros
1714203;natividade;0;0;1 - sem passageiros;1 - sem passageiros
1714302;nazaré;0;0;1 - sem passageiros;1 - sem passageiros
1714880;nova olinda;0;0;1 - sem passageiros;1 - sem passageiros
1715002;nova rosalândia;0;0;1 - sem passageiros;1 - sem passageiros
1715101;novo acordo;0;0;1 - sem passageiros;1 - sem passageiros
1715150;novo alegre;0;0;1 - sem passageiros;1 - sem passageiros
1715259;novo jardim;0;0;1 - sem passageiros;1 - sem passageiros
1715507;oliveira de fátima;0;0;1 - sem passageiros;1 - sem passageiros
